time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
0.010167571,7191516,285790,104974,290566,25109349,33047525,vgg16
0.020326222,12410787,500712,90169,571216,41744798,56003735,vgg16
0.030529543,11559068,263514,197559,537098,42289796,65707071,vgg16
0.040740528,10467389,108905,495868,1032019,42450161,62209040,vgg16
0.050948833,11102456,138621,181127,685229,42442583,73672739,vgg16
0.061153602,10836513,124897,164576,618140,42540751,73305310,vgg16
0.071365405,8243133,71816,291428,639459,42554410,58917202,vgg16
0.081595063,8353142,75773,287759,671295,42867272,59306844,vgg16
0.091723148,7137604,64681,324900,582211,39828425,50619630,vgg16
0.101860032,6033530,66602,332780,532976,38445320,42306381,vgg16
0.111999986,7521394,82996,320591,665471,40945656,52391285,vgg16
0.122197751,14374908,129772,253686,422823,42338559,70193429,vgg16
0.132400876,20145963,76522,173816,246795,42549941,90429248,vgg16
0.142594172,17517253,108127,227423,318799,42338722,79333667,vgg16
0.152796978,13157962,379845,224749,546865,42577415,61793954,vgg16
0.162906348,28988889,384983,122716,483823,111698996,142839386,vgg16
0.173044393,75704716,297836,74057,284377,306973281,369383661,vgg16
0.183252028,59496486,236542,153410,442042,241332895,289820356,vgg16
0.193442515,12774026,398262,163181,691053,42292111,58641617,vgg16
0.203554811,11823456,385739,166095,600716,41838399,59640004,vgg16
0.213777135,13144016,394729,127276,617842,42698078,59807366,vgg16
0.223978468,11667966,458638,143242,680829,42560614,53477767,vgg16
0.234183444,11035436,483222,166095,743607,42636176,50583030,vgg16
0.24438601,14459282,398575,111343,458890,42749020,65849040,vgg16
0.254576338,14578156,342027,141129,441665,42704086,66112649,vgg16
0.264706669,14732585,372147,96310,353889,42324178,67755280,vgg16
0.274898033,13948854,394811,123341,466909,42539457,63409169,vgg16
0.285036332,12130731,334842,242312,716233,42526668,54405417,vgg16
0.295300324,9496668,272012,554647,1160870,39669285,38908468,vgg16
0.305511158,13185763,407121,139624,613106,42777310,59765075,vgg16
0.315707975,12916135,435702,124481,546143,42729869,59474022,vgg16
0.325895446,12465062,427259,133537,624163,42700279,57252342,vgg16
0.336101629,12289278,456783,146577,678320,42757712,55306545,vgg16
0.346291005,12370362,463349,153764,662963,42704036,55897302,vgg16
0.356496072,12161126,430976,176303,662868,42757627,54983913,vgg16
0.366708252,14078230,404067,108514,448175,42789354,64270343,vgg16
0.376896033,14622051,429818,92152,509705,42698419,66549336,vgg16
0.387099228,12613939,463509,133797,598288,42756311,57761170,vgg16
0.397293529,12754345,430152,138999,600889,42710875,57946145,vgg16
0.407495524,13195025,418947,118474,561670,42782570,60891035,vgg16
0.417708329,12076355,436361,135754,574212,42764016,55366397,vgg16
0.42789776,14782091,378406,83016,399827,42692917,67973623,vgg16
0.438099997,13684327,390172,141067,610867,42766392,63040504,vgg16
0.448290163,13377341,380018,161543,663490,42695434,61753628,vgg16
0.458488429,13792365,371141,133234,503380,42725684,63284773,vgg16
0.468693546,8148218,181458,888834,1491121,37560189,28518649,vgg16
0.478907883,4858378,177169,565649,996138,35506271,20063100,vgg16
0.489109075,10633304,445498,216698,751907,42748774,48629896,vgg16
0.499321945,12500228,446454,133017,619369,42793037,57034565,vgg16
0.509524067,12172548,455872,147709,641660,42752206,55300023,vgg16
0.519636248,12905880,437958,131766,639243,42369423,58217042,vgg16
0.52983113,15622895,326478,25232,110281,42707777,73509335,vgg16
0.540023104,11768326,437312,160370,630438,42714304,53770185,vgg16
0.550220634,17509278,344816,93287,396960,42741023,80933941,vgg16
0.560359591,14591370,409288,96612,466687,42307388,67762009,vgg16
0.570465453,11992783,359968,201032,711451,41894668,57708100,vgg16
0.580652604,10970829,461787,178363,748017,42490534,49561483,vgg16
0.590850707,12099050,460367,137736,710539,42473745,54208160,vgg16
0.601047923,12272847,447228,110682,557753,42544666,56894646,vgg16
0.61124019,12837855,409625,144118,607382,42727710,58020485,vgg16
0.621471015,16029629,319035,73815,275938,42737343,74635144,vgg16
0.631601515,11003143,431524,209823,761092,42460918,49580809,vgg16
0.641798453,12110018,432201,153744,625932,42722940,55660965,vgg16
0.651988621,21007459,140407,36952,101634,42681871,98557224,vgg16
0.662173493,11950858,391732,137354,527073,42694102,55038119,vgg16
0.672294103,18403327,208858,86808,257826,41607229,85296779,vgg16
0.682509547,11117376,151035,311708,614290,39676933,51827530,vgg16
0.692742883,9118394,194091,1026430,1623692,36043482,30439151,vgg16
0.702975902,4049716,115202,847011,1280863,33513269,13691426,vgg16
0.713206949,9258075,154288,274874,454476,36350374,41048892,vgg16
